country,first_year_train,last_year_train,sex,max_age,num_basis,tau,latent_dim,forecast_horizon,log_score,date,time,model
sweden,1934,1993,Male,100,5,10.0,3,1,480.2126523649167,15/03/2023,17:57:03,radial_basis
sweden,1934,1993,Male,100,5,10.0,3,2,439.7635814684629,15/03/2023,17:57:03,radial_basis
sweden,1934,1993,Male,100,5,10.0,3,3,456.9950238607147,15/03/2023,17:57:03,radial_basis
sweden,1934,1993,Male,100,5,10.0,3,4,469.90941820237384,15/03/2023,17:57:03,radial_basis
sweden,1934,1993,Male,100,5,10.0,3,5,461.0410922419698,15/03/2023,17:57:03,radial_basis
sweden,1934,1993,Male,100,5,10.0,3,6,467.41935019232346,15/03/2023,17:57:03,radial_basis
sweden,1934,1993,Male,100,5,10.0,3,7,497.3755614703008,15/03/2023,17:57:03,radial_basis
sweden,1934,1993,Male,100,5,10.0,3,8,504.45420613875507,15/03/2023,17:57:03,radial_basis
sweden,1934,1993,Male,100,5,10.0,3,9,503.92933400134734,15/03/2023,17:57:03,radial_basis
sweden,1934,1993,Male,100,5,10.0,3,10,509.2376816332533,15/03/2023,17:57:03,radial_basis
sweden,1933,1992,Male,100,5,10.0,4,1,432.48831296619,15/03/2023,18:01:01,radial_basis
sweden,1933,1992,Male,100,5,10.0,4,2,446.7948281213481,15/03/2023,18:01:01,radial_basis
sweden,1933,1992,Male,100,5,10.0,4,3,442.8039941899533,15/03/2023,18:01:01,radial_basis
sweden,1933,1992,Male,100,5,10.0,4,4,457.8524034128742,15/03/2023,18:01:01,radial_basis
sweden,1933,1992,Male,100,5,10.0,4,5,463.7897581809861,15/03/2023,18:01:01,radial_basis
sweden,1933,1992,Male,100,5,10.0,4,6,470.84653370105815,15/03/2023,18:01:01,radial_basis
sweden,1933,1992,Male,100,5,10.0,4,7,476.33358365034576,15/03/2023,18:01:01,radial_basis
sweden,1933,1992,Male,100,5,10.0,4,8,493.09836570755016,15/03/2023,18:01:01,radial_basis
sweden,1933,1992,Male,100,5,10.0,4,9,497.4015011949741,15/03/2023,18:01:01,radial_basis
sweden,1933,1992,Male,100,5,10.0,4,10,500.9062559035789,15/03/2023,18:01:01,radial_basis
sweden,1934,1993,Male,100,5,10.0,4,1,457.2558863326,15/03/2023,18:02:57,radial_basis
sweden,1934,1993,Male,100,5,10.0,4,2,440.53262558490417,15/03/2023,18:02:57,radial_basis
sweden,1934,1993,Male,100,5,10.0,4,3,461.06200063793045,15/03/2023,18:02:57,radial_basis
sweden,1934,1993,Male,100,5,10.0,4,4,466.94745320475704,15/03/2023,18:02:57,radial_basis
sweden,1934,1993,Male,100,5,10.0,4,5,474.9519970378305,15/03/2023,18:02:57,radial_basis
sweden,1934,1993,Male,100,5,10.0,4,6,483.84918393656847,15/03/2023,18:02:57,radial_basis
sweden,1934,1993,Male,100,5,10.0,4,7,503.77837154188654,15/03/2023,18:02:57,radial_basis
sweden,1934,1993,Male,100,5,10.0,4,8,516.9683448365247,15/03/2023,18:02:57,radial_basis
sweden,1934,1993,Male,100,5,10.0,4,9,517.8982894310174,15/03/2023,18:02:57,radial_basis
sweden,1934,1993,Male,100,5,10.0,4,10,520.9166406980606,15/03/2023,18:02:57,radial_basis
sweden,1933,1992,Male,100,5,10.0,5,1,436.6824164110645,15/03/2023,18:04:43,radial_basis
sweden,1933,1992,Male,100,5,10.0,5,2,424.58938730142376,15/03/2023,18:04:43,radial_basis
sweden,1933,1992,Male,100,5,10.0,5,3,433.8343958722545,15/03/2023,18:04:43,radial_basis
sweden,1933,1992,Male,100,5,10.0,5,4,442.1968929368816,15/03/2023,18:04:43,radial_basis
sweden,1933,1992,Male,100,5,10.0,5,5,456.63206195010514,15/03/2023,18:04:43,radial_basis
sweden,1933,1992,Male,100,5,10.0,5,6,467.3258846929116,15/03/2023,18:04:43,radial_basis
sweden,1933,1992,Male,100,5,10.0,5,7,468.8592257618793,15/03/2023,18:04:43,radial_basis
sweden,1933,1992,Male,100,5,10.0,5,8,486.57592978763995,15/03/2023,18:04:43,radial_basis
sweden,1933,1992,Male,100,5,10.0,5,9,488.46689063067373,15/03/2023,18:04:43,radial_basis
sweden,1933,1992,Male,100,5,10.0,5,10,495.8736539468936,15/03/2023,18:04:43,radial_basis
sweden,1933,1992,Male,100,5,10.0,3,1,435.1702830062259,15/03/2023,18:06:32,radial_basis
sweden,1933,1992,Male,100,5,10.0,3,2,440.82053906782517,15/03/2023,18:06:32,radial_basis
sweden,1933,1992,Male,100,5,10.0,3,3,429.58927167322406,15/03/2023,18:06:32,radial_basis
sweden,1933,1992,Male,100,5,10.0,3,4,439.75677062382255,15/03/2023,18:06:32,radial_basis
sweden,1933,1992,Male,100,5,10.0,3,5,446.9030251042712,15/03/2023,18:06:32,radial_basis
sweden,1933,1992,Male,100,5,10.0,3,6,447.5692808911767,15/03/2023,18:06:32,radial_basis
sweden,1933,1992,Male,100,5,10.0,3,7,456.8419710749087,15/03/2023,18:06:32,radial_basis
sweden,1933,1992,Male,100,5,10.0,3,8,473.8958480261268,15/03/2023,18:06:32,radial_basis
sweden,1933,1992,Male,100,5,10.0,3,9,479.6812758343406,15/03/2023,18:06:32,radial_basis
sweden,1933,1992,Male,100,5,10.0,3,10,482.13811192207004,15/03/2023,18:06:32,radial_basis
sweden,1933,1992,Male,100,10,10.0,3,1,435.61541187838964,15/03/2023,18:18:55,radial_basis
sweden,1933,1992,Male,100,10,10.0,3,2,452.3146899587498,15/03/2023,18:18:55,radial_basis
sweden,1933,1992,Male,100,10,10.0,3,3,437.8975177199365,15/03/2023,18:18:55,radial_basis
sweden,1933,1992,Male,100,10,10.0,3,4,451.29345254675303,15/03/2023,18:18:55,radial_basis
sweden,1933,1992,Male,100,10,10.0,3,5,456.9739048884153,15/03/2023,18:18:55,radial_basis
sweden,1933,1992,Male,100,10,10.0,3,6,457.2841463141903,15/03/2023,18:18:55,radial_basis
sweden,1933,1992,Male,100,10,10.0,3,7,460.62338924305504,15/03/2023,18:18:55,radial_basis
sweden,1933,1992,Male,100,10,10.0,3,8,484.0774796006407,15/03/2023,18:18:55,radial_basis
